;NU_INSCRICAO;NU_ANO;TP_ESCOLA;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO
13911;180008062731;2018;4;31352829.0;3168002.0;Taiobeiras;4.0;2.0;469.9;631.7;549.5;541.6;620.0
13912;180008074833;2018;2;35020369.0;3515186.0;Espírito Santo do Pinhal;2.0;2.0;496.5;651.5;639.2;602.5;680.0
13913;180007284962;2018;2;29055075.0;2924603.0;Pindobaçu;2.0;2.0;465.3;647.3;579.6;476.0;660.0
13914;180008500988;2018;2;43037275.0;4304507.0;Canguçu;2.0;2.0;415.5;612.9;549.6;594.8;340.0
13915;180008493105;2018;2;15058832.0;1501709.0;Bragança;2.0;2.0;450.5;461.7;477.5;428.8;320.0
13916;180008062756;2018;2;26034832.0;2611101.0;Petrolina;2.0;2.0;535.8;627.4;546.7;645.4;320.0
13917;180007288285;2018;2;23564431.0;2305902.0;Ipueiras;2.0;2.0;551.8;652.6;571.3;703.4;940.0
13918;180008490422;2018;2;33045070.0;3302007.0;Itaguaí;2.0;2.0;504.1;581.5;561.3;452.8;680.0
13919;180008490427;2018;1;31041548.0;3162807.0;São João Evangelista;1.0;2.0;534.4;506.6;495.9;536.3;580.0
13920;180008504311;2018;1;31041548.0;3162807.0;São João Evangelista;1.0;2.0;488.4;633.0;604.9;500.0;760.0
13921;180008488273;2018;2;13038702.0;1300508.0;Barreirinha;2.0;2.0;475.1;;;398.6;
13922;180008496729;2018;2;29417287.0;2922300.0;Muritiba;2.0;2.0;;399.2;519.6;;480.0
13923;180008491564;2018;1;23162678.0;2304202.0;Crato;1.0;2.0;470.9;537.4;512.5;512.3;300.0
13924;180007266926;2018;1;24052787.0;2407104.0;Macaíba;1.0;2.0;584.5;669.1;620.6;615.6;740.0
13925;180008495191;2018;2;21042357.0;2107605.0;Palmeirândia;2.0;2.0;461.5;603.9;512.8;471.0;360.0
13926;180008493976;2018;2;15011259.0;1506807.0;Santarém;2.0;2.0;;;;;
13927;180008064737;2018;2;25018272.0;2516201.0;Sousa;2.0;2.0;;518.9;388.1;;0.0
13928;180008078196;2018;2;33051739.0;3301900.0;Itaboraí;2.0;2.0;398.7;402.6;355.9;460.0;360.0
13929;180008515043;2018;1;51192802.0;5105150.0;Juína;1.0;2.0;530.1;622.0;578.0;634.0;560.0
13930;180008507659;2018;2;26108038.0;2603454.0;Camaragibe;2.0;2.0;600.9;660.0;642.8;642.8;680.0
